,SIC,state_of_INC
402,1040,DE
403,1040,A1
404,4922,DE
405,4812,DE
406,4812,DE
407,7372,A6
408,7374,DE
409,5141,DE
410,2834,DE
411,5961,CO
412,6770,NV
413,2834,DE
414,2834,DE
415,6411,DE
416,7372,MN
417,5812,DE
418,4813,0
419,4813,0
420,2711,DE
421,2711,DE
422,6324,DE
423,3272,DE
424,4832,DE
425,2834,DE
426,3728,NY
427,7200,DE
428,2082,WA
429,7363,DE
430,6141,MI
431,4700,0
432,3577,DE
433,5172,DE
434,5172,DE
435,7385,0
436,4400,DE(Assistant
437,2211,DE
438,4841,DE
439,8741,DE
440,8741,DE
441,3841,FL
442,7389,0
443,4833,0
444,7310,DE
445,2834,DE
446,3580,DE
447,6331,FL
448,4832,DE
449,6221State,NV
450,6221State,NV
451,2836,DE
452,7372,DE
453,3714,DE
454,4991,DE
455,3825,WA
456,7370,DE
457,7370,DE
458,7389,NV
459,5812,MO
460,6331,DE
461,3672,CA
462,3672,CA
463,7370,DE
464,7370,DE
465,2451,0
466,5961,DE
467,5961,DE
468,7372,DE
469,7372,DE
470,3714,DE
471,7373,DE
472,0100,DE
473,2834,CA
474,3841,PA
475,3841,PA
476,5020,DE(Assistant
477,3669,NY
478,3842,DE
479,2860,DE
480,7374,DE
481,7374,DE
482,6770,UT
483,3679,DE
484,7389,DE
485,5311,AR
486,5812,DE
487,3841,NV
488,2836,DE
489,3990,NV
490,2860,DE
491,2860,DE
492,7372,0
493,7510,DE
494,3231,MI
495,2834,DE
496,2834,DE
497,1531,DE
498,6035,DE
499,5122,NV
500,5912,DE
501,3559,DE
502,3559,TX
503,5331,KS
504,7320,DE
505,3714,MI
506,2834,NJ
507,6172,DE
508,3390,CO
509,2834,DE
510,4911,DE
511,7389,DE
512,6162,DE
513,7389,NV
514,7389,NV
515,6021,GA
516,6021,GA
517,6021,GA
518,5961,DE
519,7389,DE
520,0900,0
521,3812,NY
522,2834,NV
523,4899,DE
524,5311,OH
525,5311,OH
526,3690,OR
527,3559,DE
528,3990,NV
529,2834,NV
530,5090,SC
531,7371,DE
532,7373,DE
533,7373,DE
534,5812,DE
535,2836,NC
536,1731,DE
537,1731,DE
538,3674,NJ
539,7389,DE
540,5990,NY
541,7373,NV
542,3651,DE
543,3651,DE
544,3651,DE
545,2834,DE
546,4832,IN
547,4832,IN
548,3576,DE
549,5045,DE
550,3841,CO
551,1311,NV
552,7380,NV
553,3845,DE
554,3841,DE
555,3674,DE
556,3640,DE
557,1311,NV
558,7372,DE
